ID_station;nom_station;adresse_station;latitude;longitude;nom_porteur;type_charge;nbre_pdc;type_connecteur;date_maj;observations;source
VinciPark- Lobau;VinciPark- Lobau;4 Rue de Lobau 75004 PARIS;48.86;2.35;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Lobau;VinciPark- Lobau;4 Rue de Lobau 75004 PARIS;48.86;2.35;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Les Arts;VinciPark- Les Arts;Rue de la préfecture 95000 CERGY;49.0364;2.07749;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Les Arts;VinciPark- Les Arts;Rue de la préfecture 95000 CERGY;49.0364;2.07749;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Les Arts;VinciPark- Les Arts;Rue de la préfecture 95000 CERGY;49.0364;2.07749;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Trois Gares;VinciPark- Trois Gares;3 Rue de l'embarquement 95800 CERGY;49.0477;2.00994;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Trois Gares;VinciPark- Trois Gares;3 Rue de l'embarquement 95800 CERGY;49.0477;2.00994;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Trois Gares;VinciPark- Trois Gares;3 Rue de l'embarquement 95800 CERGY;49.0477;2.00994;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Nautilus;VinciPark- Nautilus;18 Boulevard des merveilles 95800 CERGY;49.0518;2.00721;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Nautilus;VinciPark- Nautilus;18 Boulevard des merveilles 95800 CERGY;49.0518;2.00721;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Nautilus;VinciPark- Nautilus;18 Boulevard des merveilles 95800 CERGY;49.0518;2.00721;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Galeries;VinciPark- Galeries;Avenue des 3 Fontaines 95000 CERGY;49.037868;2.076673;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Galeries;VinciPark- Galeries;Avenue des 3 Fontaines 95000 CERGY;49.037868;2.076673;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Galeries;VinciPark- Galeries;Avenue des 3 Fontaines 95000 CERGY;49.037868;2.076673;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Oise;VinciPark- Oise;Boulevard de l'Oise 95000 CERGY;49.037778;2.077778;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Oise;VinciPark- Oise;Boulevard de l'Oise 95000 CERGY;49.037778;2.077778;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Oise;VinciPark- Oise;Boulevard de l'Oise 95000 CERGY;49.037778;2.077778;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark - Woldi;VinciPark - Woldi;3 boulevard du président Wilson 67000 STRASBOURG;48.587057;7.737838;Sodetrel;normale;1;TE-T2;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark - Woldi;VinciPark - Woldi;3 boulevard du président Wilson 67000 STRASBOURG;48.587057;7.737838;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Kleber;VinciPark- Kleber;6 Place de l'Homme de fer 67000 STRASBOURG;48.584142;7.74418;Sodetrel;normale;1;TE-T2;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Kleber;VinciPark- Kleber;6 Place de l'Homme de fer 67000 STRASBOURG;48.584142;7.74418;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Arènes;VinciPark- Arènes;5 Boulevard de Bruxelles 30000 NÎMES;43.833906;4.361582;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Maison Carrée;VinciPark- Maison Carrée;1 Quai de la Fontaine 30900 NÎMES;43.839215;4.35495;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Centre;VinciPark- Centre;Arche Nord 92400 COURBEVOIE;48.8912;2.24104;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Centre;VinciPark- Centre;Arche Nord 92400 COURBEVOIE;48.8912;2.24104;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Centre;VinciPark- Centre;Arche Nord 92400 COURBEVOIE;48.8912;2.24104;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Centre;VinciPark- Centre;Arche Nord 92400 COURBEVOIE;48.8912;2.24104;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Centre;VinciPark- Centre;Arche Nord 92400 COURBEVOIE;48.8912;2.24104;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Centre;VinciPark- Centre;Arche Nord 92400 COURBEVOIE;48.8912;2.24104;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Centre;VinciPark- Centre;Arche Nord 92400 COURBEVOIE;48.8912;2.24104;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Centre;VinciPark- Centre;Arche Nord 92400 COURBEVOIE;48.8912;2.24104;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Centre;VinciPark- Centre;Arche Nord 92400 COURBEVOIE;48.8912;2.24104;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Cité des sciences;VinciPark- Cité des sciences;211 Avenue Jean Jaurès 75019 PARIS;48.896;2.38728;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Cité des sciences;VinciPark- Cité des sciences;211 Avenue Jean Jaurès 75019 PARIS;48.896;2.38728;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Cité des sciences;VinciPark- Cité des sciences;211 Avenue Jean Jaurès 75019 PARIS;48.896;2.38728;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
